installation,ip,mac,memory_used,memory_total,memory,cpu,port
nosnmp/pc,192.168.10.1,80-E8-2C-CF-DE-7C,null,null,null,null,null
switch,192.168.10.99,00-1E-BD-1D-FE-C0,null,null,null,4,26
switch,192.168.10.200,00-1E-BD-57-D7-C0,null,null,null,4,26
switch,192.168.10.252,00-1E-BD-6C-4B-40,null,null,null,4,26
switch,192.168.10.253,00-1E-BD-1D-FA-40,null,null,null,4,26
switch,192.168.10.80,00-1E-BD-78-89-40,null,null,null,4,26
router,192.168.10.100,00-1E-BD-7D-12-40,null,null,null,5,28
router,192.168.10.254,00-1E-BD-99-B0-40,null,null,null,6,28
